Name;WKN
Software;A2GS40
Southern;852523
Splunk;A1JV4H
Stabilus;A113Q5
Starbucks;884437
STEINHOFF INT.HLDG.EO-,50;A14XB9
STRATEC Biomedical;STRA55
Ströer Media;749399
Stryker Corp.;864952
SUEDZUCKER;729700
Symrise;SYM999
Synopsys;883703
TAG Immobilien;830350
Taiwan Semiconductor Manufact. ADR;909800
TAKKT;744600
Talanx;TLX100
TEAMVIEWER AG INH O.N.;A2YN90
Tele Columbus;TCAG17
Telefónica Dtl.;A1J5RX
TELEFÓNICA;850775
Tencent Holdings;A1138D
Tesla;A1CX3T
Texas Instruments;852654
Thermo Fisher Scientific;857209
thyssenkrupp AG;750000
TLG Immobilien;A12B8Z
Tomra Systems;872535
Traton;TRAT0N
Twitter;A1W6XZ
Unilever;A0JMQ9
Union Pacific;858144
Uniper;UNSE01
UNITED INTERNET;508903
UnitedHealth Group;869561
Varta;A0TGJ5
Veeva System;A1W5SA
Veolia Environnement;501451
Verizon Communications;868402
Vertex Pharma;882807
Visa;A0NC7B
VODAFONE GROUP;A1XA83
Volkswagen VZ;766403
Vonovia SE;A1ML7J
Vossloh;766710
Wacker Chemie;WCH888
Wacker Neuson;WACK01
Wal-Mart Stores;860853
Walgreens Boots Alliance;A12HJF
Walt Disney Company (The);855686
WashTec;750750
Waste Management;893579
Western Digital;863060
"Wüstenrot &#38; Württemb.";805100
Wynn Resorts;663244
XIAOMI CORP. CL.B;A2JNY1
Xilinx;880135
Yum! Brands;909190
Zalando;111 ZAL
ZEAL Network;ZEAL24
zooplus;511170
RTL Group;861149
RWE;703712
"S &#38; T";A0X9EJ
SAF-HOLLAND;SAFH00
Salesforce.com;A0B87V
SALZGITTER;620200
Samsung Electronics Pref. ADR;881823
SAP SE;716460
Sartorius Vz;716563
SCHAEFFLER AG INH. VZO;SHA015
SCOUT24 AG NA O.N.;A12DM8
SGL CARBON;723530
SHOP APOTHEKE EUROPE INH.;A2AR94
Siemens;723610
Siemens Healthineers;SHL100
SILTRONIC AG NA O.N.;WAF300
Sixt SE;723132
Sixt SE Vz;723133
SLM Solutions Grp;A11133
SMA Solar Technology;A0DJ6J
